opc_count,lpc_count,dt
1,1,2022-11-26 21:56:22.602189
1,1,2022-11-26 21:56:22.905916
1,1,2022-11-26 21:56:23.143931
1,1,2022-11-26 21:56:23.355366
1,1,2022-11-26 21:56:23.619385
1,1,2022-11-26 21:56:23.824402
1,1,2022-11-26 21:56:24.110423
1,1,2022-11-26 21:56:24.388445
1,1,2022-11-26 21:56:24.684466
1,1,2022-11-26 21:56:24.970507
1,1,2022-11-26 21:56:25.223538
1,1,2022-11-26 21:56:25.517502
1,1,2022-11-26 21:56:25.778413
1,1,2022-11-26 21:56:26.029432
1,1,2022-11-26 21:56:26.266451
1,1,2022-11-26 21:56:26.526358
1,1,2022-11-26 21:56:26.777506
1,1,2022-11-26 21:56:27.024526
1,1,2022-11-26 21:56:27.293557
1,1,2022-11-26 21:56:27.546556
1,1,2022-11-26 21:56:27.794063
1,1,2022-11-26 21:56:28.034602
1,1,2022-11-26 21:56:28.302629
1,1,2022-11-26 21:56:28.587654
1,1,2022-11-26 21:56:28.829675
1,1,2022-11-26 21:56:29.103980
1,1,2022-11-26 21:56:29.355001
1,1,2022-11-26 21:56:29.599021
1,1,2022-11-26 21:56:29.858899
1,1,2022-11-26 21:56:30.108918
1,1,2022-11-26 21:56:30.355728
1,1,2022-11-26 21:56:30.591746
1,1,2022-11-26 21:56:30.872766
1,1,2022-11-26 21:56:31.110785
1,1,2022-11-26 21:56:31.355810
1,1,2022-11-26 21:56:31.618651
1,1,2022-11-26 21:56:31.888679
1,1,2022-11-26 21:56:32.139704
1,1,2022-11-26 21:56:32.394730
1,1,2022-11-26 21:56:32.675757
1,1,2022-11-26 21:56:32.940715
1,1,2022-11-26 21:56:33.166732
1,1,2022-11-26 21:56:33.378753
1,1,2022-11-26 21:56:33.593774
1,1,2022-11-26 21:56:33.796789
1,1,2022-11-26 21:56:34.017469
1,1,2022-11-26 21:56:34.255487
1,1,2022-11-26 21:56:34.522137
1,1,2022-11-26 21:56:34.784177
1,1,2022-11-26 21:56:35.037195
1,1,2022-11-26 21:56:35.285216
1,1,2022-11-26 21:56:35.549246
1,1,2022-11-26 21:56:35.802526
1,1,2022-11-26 21:56:36.054545
1,1,2022-11-26 21:56:36.323572
1,1,2022-11-26 21:56:36.572591
1,1,2022-11-26 21:56:36.816610
1,1,2022-11-26 21:56:37.072452
1,1,2022-11-26 21:56:37.338482
1,1,2022-11-26 21:56:37.602634
1,1,2022-11-26 21:56:37.847653
1,1,2022-11-26 21:56:38.125679
1,1,2022-11-26 21:56:38.367697
1,1,2022-11-26 21:56:38.616718
1,1,2022-11-26 21:56:38.964743
1,1,2022-11-26 21:56:39.240763
1,1,2022-11-26 21:56:39.494782
1,1,2022-11-26 21:56:39.740801
1,1,2022-11-26 21:56:40.030967
1,1,2022-11-26 21:56:40.297611
1,1,2022-11-26 21:56:40.561055
1,1,2022-11-26 21:56:40.815084
1,1,2022-11-26 21:56:41.081116
1,1,2022-11-26 21:56:41.337081
1,1,2022-11-26 21:56:41.602101
1,1,2022-11-26 21:56:41.864120
1,1,2022-11-26 21:56:42.116144
1,1,2022-11-26 21:56:42.366168
1,1,2022-11-26 21:56:42.619209
1,1,2022-11-26 21:56:42.878228
1,1,2022-11-26 21:56:43.138265
1,1,2022-11-26 21:56:43.380286
